,DistanceToPrev,LineCode,SeqNum,StationCode,StationName,Address.City,Address.State,Address.Street,Address.Zip,Code,Lat,LineCode1,LineCode2,LineCode3,LineCode4,Lon,Name,StationTogether1,StationTogether2
96,10026,RD,23,B07,Takoma,Washington,DC,327 Cedar Street NW,20012,B07,38.975532,RD,,,,-77.017834,Takoma,,
97,7484,RD,24,B08,Silver Spring,Silver Spring,MD,8400 Colesville Road,20910,B08,38.993841,RD,,,,-77.031321,Silver Spring,,
98,8871,RD,25,B09,Forest Glen,Forest Glen,MD,9730 Georgia Avenue,20910,B09,39.015413,RD,,,,-77.042953,Forest Glen,,
99,8484,RD,26,B10,Wheaton,Silver Spring,MD,11171 Georgia Avenue,20902,B10,39.038558,RD,,,,-77.051098,Wheaton,,
100,9334,RD,27,B11,Glenmont,Silver Spring,MD,12501 Georgia Avenue,20906,B11,39.061713,RD,,,,-77.05341,Glenmont,,
101,0,SV,1,N06,Wiehle-Reston East,Reston,VA,1862 Wiehle Avenue,20190,N06,38.947753,SV,,,,-77.340179,Wiehle-Reston East,,
102,30867,SV,2,N04,Spring Hill,Vienna,VA,1576 Spring Hill Road,22182,N04,38.928051,SV,,,,-77.233656,Spring Hill,,
103,3634,SV,3,N03,Greensboro,Vienna,VA,8305 Leesburg Pike,22182,N03,38.919749,SV,,,,-77.235192,Greensboro,,
104,3902,SV,4,N02,Tysons Corner,McLean,VA,1943 Chain Bridge Road,22102,N02,38.920056,SV,,,,-77.223314,Tysons Corner,,
105,3440,SV,5,N01,McLean,McLean,VA,1824 Dolley Madison Boulevard,22102,N01,38.924478,SV,,,,-77.210167,McLean,,
106,24745,SV,6,K05,East Falls Church,Arlington,VA,2001 N. Sycamore St.,22205,K05,38.885841,OR,SV,,,-77.157177,East Falls Church,,
107,13156,SV,7,K04,Ballston-MU,Arlington,VA,4230 Fairfax Drive,22201,K04,38.882071,OR,SV,,,-77.111845,Ballston-MU,,
108,2980,SV,8,K03,Virginia Square-GMU,Arlington,VA,3600 Fairfax Drive,22201,K03,38.88331,OR,SV,,,-77.104267,Virginia Square-GMU,,
