,Lat,Lon,Name,Routes,StopID
6833,39.000835,-76.872871,RIDGE RD + GARDENWAY,"[u'G12', u'G12c']",3002319
6834,39.000889,-76.93109,BALTIMORE AVE + UNIVERSITY BLVD,"[u'86', u'86v2']",3002320
6835,39.000957,-76.924835,RHODE ISLAND AVE + APACHE ST,[u'83'],3002322
6836,39.001052,-77.077072,CONNECTICUT AVE + PARSONS RD,[u'L8'],2001266
6837,39.001099,-76.9077,BREEZEWOOD DR + CHERRYWOOD TERR,"[u'R12', u'R12v1']",3002326
6838,39.001162,-76.87532,CRESCENT RD + GARDEN WAY,"[u'G12', u'G12c', u'G12v1', u'G14', u'G14v1', u'G14v2']",3002327
6839,39.001167,-76.907677,BREEZEWOOD DR + CHERRYWOOD TERR,"[u'R12', u'R12v1']",3002328
6840,39.001204,-76.897957,EDMONSTON RD + SPRINGHILL CT,"[u'R12', u'R12v1']",3002329
6841,39.001244,-76.909583,BREEZEWOOD DR + CHERRYWOOD LN,"[u'R12', u'R12v1']",3002330
6842,39.00135,-76.8749,CRESCENT RD + GARDENWAY,"[u'G12', u'G14', u'G14c', u'G14v2']",3002332
6843,39.001389,-77.076949,CONNECTICUT AVE + MONTROSE DR,[u'L8'],2000233
6844,39.00153,-77.025229,COLESVILLE RD + N NOYES DR,"[u'Z2v2', u'Z2v4', u'Z2vS', u'Z6', u'Z6v1', u'Z8', u'Z8v1', u'Z8v2', u'Z8v3', u'Z8v4', u'Z8v9']",2000234
6845,39.001533,-77.025054,COLESVILLE RD + N NOYES DR,"[u'Z2v4', u'Z2v5', u'Z2vS', u'Z6', u'Z6c', u'Z8', u'Z8c', u'Z8v1', u'Z8v2', u'Z8v3', u'Z8v9']",2000235
6846,39.001598,-76.964729,ADELPHI RD + METZEROTT RD,"[u'C8', u'C8v1', u'C8v2', u'C8v3']",3003453
6847,39.001716,-76.995766,UNIVERSITY BLVD + LANGLEY DR,"[u'C2', u'C4']",2000236
6848,39.001849,-76.872398,RIDGE RD + HAMILTON PL,[u'G12'],3002335
6849,39.001942,-76.872444,RIDGE RD + HAMILTON PL,"[u'G12', u'G12c']",3002336
6850,39.002018,-76.909797,CHERRYWOOD LN + BREEZEWOOD DR,"[u'C2', u'C2c', u'G14', u'G14c', u'G14v2']",3002337
6851,39.002215,-77.181252,RIVER RD + BRADLEY BLVD,[u'T2'],2000237
6852,39.002239,-76.972305,RIGGS RD + APACHE ST,"[u'R1', u'R2']",3002340
6853,39.002265,-77.034706,GEORGIA AVE + NOYES DR,"[u'J5', u'J5c', u'Q1', u'Q2', u'Q2cv1', u'Q4', u'Y2', u'Y7', u'Y8']",2000238
