,latitude,longitude,name,unique,detail,category,type
175,38.768271,-76.952787,ALLENTOWN RD + STONESBORO RD,3000184,W13,bus,bus
175,38.768271,-76.952787,ALLENTOWN RD + STONESBORO RD,3000184,W13v1,bus,bus
175,38.768271,-76.952787,ALLENTOWN RD + STONESBORO RD,3000184,W14,bus,bus
176,38.76849,-77.261885,CONSERVATION DR + ANTELOPE PL,5000079,18H,bus,bus
177,38.768578,-77.226958,ROLLING RD + BIRMINGHAM LN,5000080,18S,bus,bus
178,38.768636,-77.261761,CONSERVATION DR + DINA LEIGH CT,5000081,18H,bus,bus
179,38.768786,-77.227061,ROLLING RD + BIRMINGHAM LN,5000082,18S,bus,bus
180,38.76892,-76.952759,ALLENTOWN RD + STONESBORO RD,3000186,W13,bus,bus
180,38.76892,-76.952759,ALLENTOWN RD + STONESBORO RD,3000186,W13c,bus,bus
180,38.76892,-76.952759,ALLENTOWN RD + STONESBORO RD,3000186,W14,bus,bus
181,38.76914,-77.272004,LEE CHAPEL RD + GOLDFIELD LN,5000083,18R,bus,bus
182,38.7692,-77.259366,FIELD MASTER DR + DINA LEIGH CT,5000084,18H,bus,bus
183,38.769138,-77.259208,FIELD MASTER DR + SYDENSTRICKER RD,5000085,18H,bus,bus
184,38.769477,-77.263303,CONSERVATION DR + BRIAN MICHAEL CT,5000086,18H,bus,bus
185,38.769687,-77.263022,CONSERVATION DR + BRIAN MICHAEL CT,5000087,18H,bus,bus
186,38.769655,-77.250143,HUNTSMAN BLVD + HOUNDMASTER RD,5000088,18H,bus,bus
187,38.769987,-77.23071,ROLLING RD + TAFT DR,5000089,18S,bus,bus
188,38.770066,-77.249975,HUNTSMAN BLVD + HOUNDMASTER RD,5000090,18H,bus,bus
189,38.770229,-77.222845,GREELEY BLVD + SETON CT,5000091,18H,bus,bus
190,38.77024,-77.021095,FORT FOOTE RD + BLUFFWOOD LN,3000188,P17,bus,bus
190,38.77024,-77.021095,FORT FOOTE RD + BLUFFWOOD LN,3000188,P18,bus,bus
191,38.770341,-77.021211,FORT FOOTE RD + BLUFFWOOD LN,3000189,P17,bus,bus
191,38.770341,-77.021211,FORT FOOTE RD + BLUFFWOOD LN,3000189,P18,bus,bus
192,38.770295,-77.21928,GREELEY BLVD + DELAND DR,5000092,18H,bus,bus
193,38.770295,-77.226638,GREELEY BLVD + BELLAMY AVE,5000094,18H,bus,bus
194,38.770285,-77.223224,GREELEY BLVD + SETON CT,5000095,18H,bus,bus
195,38.770418,-77.227035,GREELEY BLVD + BELLAMY AVE,5000096,18H,bus,bus
196,38.770421,-77.219571,GREELEY BLVD + DELAND DR,5000097,18H,bus,bus
197,38.770454,-77.257717,FIELD MASTER DR + SILVERVINE LN,5000098,18H,bus,bus
198,38.770274,-77.258172,FIELD MASTER DR + SILVERVINE LN,5000099,18H,bus,bus
199,38.770537,-77.224564,GREELEY BLVD + BELLAMY AVE,5000100,18H,bus,bus
200,38.770741,-77.224048,GREELEY BLVD + BELLAMY AVE,5000101,18H,bus,bus
201,38.771028,-77.216695,GREELEY BLVD + ANSON CT,5000102,18H,bus,bus
202,38.771142,-77.229151,GREELEY BLVD + #1820,5000103,18H,bus,bus
203,38.77104,-77.229292,GREELEY BLVD + #8133,5000104,18H,bus,bus
204,38.77131,-77.017761,FORT FOOTE RD + E FORT FOOTE TER,3000192,P17,bus,bus
